id,source,site,description,species,technology,entry_type,single_chain,country,iso_a2,continent,country_approx,lat,lon,ka_young,ka_old,ka_mid,date_citation,pu_count,pu01_heat_treatment,pu02_platform_faceting,pu03_centripetal_shaping,pu04_lateral_shaping,pu05_distal_shaping,pu06_back_shaping,pu07_cresting,pu08_debordante_shaping,pu09_overshot_flaking,pu10_kombewa_flaking,pu11_core_tablet,pu12_abrasion,pu13_trimming_platform_overhang,pu14_hard_hammer_percussion,pu15_support_core_with_hand,pu16_use_of_an_anvil,pu17_core_rotation,pu18_soft_hammer_percussion,pu19_indirect_percussion,pu20_flaking_through_pressure,pu21_hammer_dressing,pu22_invasive_flaking,pu23_ochre_use,pu24_asphalt_use,pu25_retouch,pu26_backing,pu27_notching,pu28_burination,pu29_tanging,pu30_tranchet,pu31_bifacial_retouch,pu32_invasive_retouch,pu33_pressure_flaked_retouch
79,Rankama and Kankaanpaa 2011,Sujula,Blade manufacture on carefully prepared blade cores bifacial crest no debordantes mentioned. abrasion and microchipping (described as core edge trimming flakes) of platform are nearly universal. NO flake tech here. core tablets and distal convexity management are common. RT coded as pieces with backing and burination.,H. sapiens,Other,Archaeological,Single sequence,Finland,FI,Europe,0,69.871147,27.291296,9.7,10.5,10.1,,19,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0
80,Rankama and Kankaanpaa 2011,Sujula,Whole assemblage. Blade manufacture on carefully prepared blade cores bifacial crest no debordantes mentioned. abrasion and microchipping (described as core edge trimming flakes) of platform are nearly universal. NO flake tech here. core tablets and distal convexity management are common.,H. sapiens,Other,Archaeological,Whole assemblage,Finland,FI,Europe,0,69.721419,27.299905,9.7,10.5,10.1,,20,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
81,Paige 2022,Reeve Ranch Ruin,Bipolar percussion of obsidian cobble some of those bipolar flakes are set aside platforms abraded pressure flaked to form arrowheads with tangs.,H. sapiens,Other,Archaeological,Single sequence,United States of America,US,North America,0,32.383402,-110.483526,0.6,0.7,0.65,,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
82,Paige 2022 and Lagarde and Sand 2013,WKO013A,Conical and biconical discoid core reduction without platform preparation. Likely soft hammer included. Flakes have removals across ventral and along lateral margins often.,H. sapiens,Other,Archaeological,Single sequence,New Caledonia,NC,Oceania,0,-21.057901,164.881847,2.15,3,2.575,,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
83,Paige 2022 and Lagarde and Sand 2013,WKO013A,Whole assembl.,H. sapiens,Other,Archaeological,Whole assemblage,New Caledonia,NC,Oceania,0,-21.090244,164.879064,2.15,3,2.575,,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
84,Adler et al. 2014,Nor Geghi 1,Preferential levallois points made on cores on flakes. Debord is described as present but in my classification these are lateral trimming flakes. Flakes are facetted. The assembalge is heavily patinated and worn so less clear about association between pref levall and retouch. Scrapers are common though/,Unattributed,Other,Archaeological,Single sequence,Armenia,AM,Asia,0,40.265007,44.584049,304,435,369.5,,10,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
85,Adler et al. 2014,Nor Geghi 1,Whole assemblage,Unattributed,Other,Archaeological,Whole assemblage,Armenia,AM,Asia,0,40.234825,44.598489,304,435,369.5,,15,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0
86,Dietler 2003,China Harbor,Microblade manufacture on amorphous core.  Figure 7 of Dietler 2003 thesis with bevelled platform preparation. fig 8. on core on flake.,H. sapiens,Other,Archaeological,Single sequence,United States of America,US,North America,1,33.911107,-119.608839,0.1,0.8,0.45,Dietler 2003:63. also cites Arnold 1987a:184-185,11,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
87,Cassidy et al. 2014,Eel Point early,Wedge shaped microblade core in figure 6a.,H. sapiens,Other,Archaeological,Single sequence,United States of America,US,North America,1,32.610642,-118.200571,7.95,8.55,8.25,,10,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
88,Cassidy et al. 2014,Eel Point early,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,United States of America,US,North America,1,32.535197,-118.184211,7.95,8.55,8.25,,11,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
89,Pavlides and Kennedy 2007,GAC Layers 1-3,discoidal technology with some platform prep of flakes in form of facetting and backing of tools,H. sapiens,Other,Archaeological,Single sequence,Papua New Guinea,PG,Oceania,1,-2.096655,147.361173,2,4.4,3.2,Kennedy 1983:116 for young date rc for old date reported in this text,7,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
90,Pavlides and Kennedy 2007,GAC Layers 1-3,Whle assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,0,-2.067835,147.38779,2,4.4,3.2,Kennedy 1983:116 for young date rc for old date reported in this text,10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
91,Pavlides and Kennedy 2007,GFJ,discoidal technology  and backing of tools,H. sapiens,Other,Archaeological,Single sequence,Papua New Guinea,PG,Oceania,1,-2.208487,147.03451,2,4.7,3.35,Kennedy 1983:116 for young date rc for old date reported in this text,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
92,Pavlides and Kennedy 2007,GFJ,Whole assemblage litle,H. sapiens,Other,Archaeological,Whole assemblage,Papua New Guinea,PG,Oceania,0,-2.039105,147.065679,2,4.7,3.35,Kennedy 1983:116 for young date rc for old date reported in this text,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
93,Braun et al. 2019,Bokol Dora 1,Simple flake production on rotated cores. no platform prep facetting retouch.,Unattributed,Oldowan,Archaeological,Single sequence,Ethiopia,ET,Africa,0,11.266445,40.860244,2580,2610,2595.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Braun et al. 2019,Bokol Dora 1,Whole assemblage,Unattributed,Oldowan,Archaeological,Whole assemblage,Ethiopia,ET,Africa,0,11.418864,40.903827,2580,2610,2595.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Proffitt et al. 2016,Oitenta,Striking of hammers onto anvil/substrate resulting in flake removals.,S. libidinosus,Other,Primate,Single sequence,,,,0,,,0,0.5,0.25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Mercader et al. 2006,Noulo,hard hammers and used to strike nuts on anvils,P. troglodytes,Other,Primate,Single sequence,,,,0,,,2.5,4.5,3.5,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Visalberghi et al. 2015,Tai,hard hammers and used to strike nuts on anvils,P. troglodytes,Other,Primate,Single sequence,,,,0,,,0,0,0.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Visalberghi et al. 2015,Fazenda Boa Vista,hard hammers and used to strike nuts on anvils,S. libidinosus,Other,Primate,Single sequence,,,,0,,,0,0,0.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Gumert and Malaivijitnond 2012,Lameson National Park,hard hammers and used to crack crustaceans on a hard substrate,M. fascicularis aurea,Other,Primate,Single sequence,,,,0,,,0,0,0.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Moore and Perston 2015,Spandrels experiment,Acheulean handaxe no retouch invasive flaking.,Not applicable (experimental),Acheulean (probable),Experimental,Single sequence,,,,0,,,0,0,0.0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Moore and Perston 2015,Spandrels experiment,Proto-levallois core convexities arguably shaped through centripetal removals but no facetting of platform/preparation. No retouch.,Not applicable (experimental),Other,Experimental,Single sequence,,,,0,,,0,0,0.0,,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
102,Roussell et al. 2016,Quincay cave,Chatelperronian retouched bladelets from cores prepared by cresting some examples of distal convexities managed and core tablets. and debordantes,H. neanderthalensis,Other,Archaeological,Single sequence,France,FR,Europe,0,46.657896,0.254722,40,45,42.5,,12,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
103,Otte 1990 and 1994,Rocourt,Laminar flakes that are burinated and backed. produced through a recurrent blade production sequence with initial cresting lat convexity and distal convexity maintenance through debordantes. No sign of soft hammer or indirect hammer.,H. neanderthalensis,Other,Archaeological,Single sequence,Belgium,BE,Europe,0,50.668812,5.463733,50,70,60.0,,11,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
104,Slimak 1999,Champ Grande,Blades relying on initial shape of cobble with natural dihedral corner. shaping is slight some cresting to form corner better. Examples in fig. 8. 2 3 4. facetting performed. some bipolar percussion Slimak suggests is used to maintain distal convexity. Cautious in describing tablets as present. So no tablets. Soft hammer seems maybe but they don't say for sure present as far as I can tell.,H. neanderthalensis,Other,Archaeological,Single sequence,France,FR,Europe,0,45.927759,4.035602,50,71,60.5,Slimak pers. comm. According to geological analyis.,10,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
105,Slimak 1999,Champ Grande,Whole assemblage,H. neanderthalensis,Other,Archaeological,Whole assemblage,France,FR,Europe,0,45.969033,4.070769,50,71,60.5,Slimak pers. comm. According to geological analyis.,13,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
